force_id	force_name	force_url
avon-and-somerset	Avon and Somerset Constabulary	https://data.police.uk/api/avon-and-somerset/neighbourhoods
bedfordshire	Bedfordshire Police	https://data.police.uk/api/bedfordshire/neighbourhoods
cambridgeshire	Cambridgeshire Constabulary	https://data.police.uk/api/cambridgeshire/neighbourhoods
cheshire	Cheshire Constabulary	https://data.police.uk/api/cheshire/neighbourhoods
city-of-london	City of London Police	https://data.police.uk/api/city-of-london/neighbourhoods
cleveland	Cleveland Police	https://data.police.uk/api/cleveland/neighbourhoods
cumbria	Cumbria Constabulary	https://data.police.uk/api/cumbria/neighbourhoods
derbyshire	Derbyshire Constabulary	https://data.police.uk/api/derbyshire/neighbourhoods
devon-and-cornwall	Devon & Cornwall Police	https://data.police.uk/api/devon-and-cornwall/neighbourhoods
dorset	Dorset Police	https://data.police.uk/api/dorset/neighbourhoods
durham	Durham Constabulary	https://data.police.uk/api/durham/neighbourhoods
dyfed-powys	Dyfed-Powys Police	https://data.police.uk/api/dyfed-powys/neighbourhoods
essex	Essex Police	https://data.police.uk/api/essex/neighbourhoods
gloucestershire	Gloucestershire Constabulary	https://data.police.uk/api/gloucestershire/neighbourhoods
greater-manchester	Greater Manchester Police	https://data.police.uk/api/greater-manchester/neighbourhoods
gwent	Gwent Police	https://data.police.uk/api/gwent/neighbourhoods
hampshire	Hampshire Constabulary	https://data.police.uk/api/hampshire/neighbourhoods
hertfordshire	Hertfordshire Constabulary	https://data.police.uk/api/hertfordshire/neighbourhoods
humberside	Humberside Police	https://data.police.uk/api/humberside/neighbourhoods
kent	Kent Police	https://data.police.uk/api/kent/neighbourhoods
lancashire	Lancashire Constabulary	https://data.police.uk/api/lancashire/neighbourhoods
leicestershire	Leicestershire Police	https://data.police.uk/api/leicestershire/neighbourhoods
lincolnshire	Lincolnshire Police	https://data.police.uk/api/lincolnshire/neighbourhoods
merseyside	Merseyside Police	https://data.police.uk/api/merseyside/neighbourhoods
metropolitan	Metropolitan Police Service	https://data.police.uk/api/metropolitan/neighbourhoods
norfolk	Norfolk Constabulary	https://data.police.uk/api/norfolk/neighbourhoods
north-wales	North Wales Police	https://data.police.uk/api/north-wales/neighbourhoods
north-yorkshire	North Yorkshire Police	https://data.police.uk/api/north-yorkshire/neighbourhoods
northamptonshire	Northamptonshire Police	https://data.police.uk/api/northamptonshire/neighbourhoods
northumbria	Northumbria Police	https://data.police.uk/api/northumbria/neighbourhoods
nottinghamshire	Nottinghamshire Police	https://data.police.uk/api/nottinghamshire/neighbourhoods
northern-ireland	Police Service of Northern Ireland	https://data.police.uk/api/northern-ireland/neighbourhoods
south-wales	South Wales Police	https://data.police.uk/api/south-wales/neighbourhoods
south-yorkshire	South Yorkshire Police	https://data.police.uk/api/south-yorkshire/neighbourhoods
staffordshire	Staffordshire Police	https://data.police.uk/api/staffordshire/neighbourhoods
suffolk	Suffolk Constabulary	https://data.police.uk/api/suffolk/neighbourhoods
surrey	Surrey Police	https://data.police.uk/api/surrey/neighbourhoods
sussex	Sussex Police	https://data.police.uk/api/sussex/neighbourhoods
thames-valley	Thames Valley Police	https://data.police.uk/api/thames-valley/neighbourhoods
warwickshire	Warwickshire Police	https://data.police.uk/api/warwickshire/neighbourhoods
west-mercia	West Mercia Police	https://data.police.uk/api/west-mercia/neighbourhoods
west-midlands	West Midlands Police	https://data.police.uk/api/west-midlands/neighbourhoods
west-yorkshire	West Yorkshire Police	https://data.police.uk/api/west-yorkshire/neighbourhoods
wiltshire	Wiltshire Police	https://data.police.uk/api/wiltshire/neighbourhoods
